time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,activity_label
5298365.0,-0.695312,1.831543,0.051758,0.16947,-0.010658,0.264597,0.285645,-1.87793,0.70459,-0.220897,-0.066349,-0.19132,chewing
5298375.0,-0.663086,1.842285,0.050781,0.184925,0.074343,0.284848,0.287598,-1.882813,0.705078,-0.200113,-0.038371,-0.163341,chewing
5298385.0,-0.655762,1.839844,0.043945,0.216101,0.073011,0.272591,0.299805,-1.891113,0.690918,-0.129234,0.014123,-0.223562,chewing
5298395.0,-0.658203,1.825684,0.054199,0.238217,0.023449,0.205176,0.300293,-1.893555,0.706543,-0.094328,0.05196,-0.297372,chewing
5298405.0,-0.637695,1.836426,0.047363,0.274456,-0.078074,0.067948,0.273438,-1.873535,0.708496,-0.075409,0.067415,-0.269394,chewing
5298415.0,-0.640625,1.854004,0.050781,0.241681,-0.160144,0.019718,0.285645,-1.908691,0.721191,-0.17853,0.038104,-0.187323,chewing
5298425.0,-0.631348,1.86084,0.044922,0.222496,-0.189721,-0.001066,0.274902,-1.882813,0.710937,-0.221164,-0.017853,-0.15668,chewing
5298435.0,-0.661621,1.842773,0.033691,0.203844,-0.196916,-0.00453,0.27832,-1.894531,0.701172,-0.226227,-0.03544,-0.168404,chewing
5298445.0,-0.65625,1.837402,0.053223,0.221164,-0.273391,-0.040769,0.277832,-1.891113,0.686523,-0.236352,-0.023982,-0.14842,chewing
5298455.0,-0.617676,1.856934,0.04248,0.193718,-0.318156,-0.076208,0.277832,-1.893066,0.705078,-0.179063,-0.063152,-0.186524,chewing
5298465.0,-0.629883,1.859375,0.045898,0.177198,-0.366119,-0.163874,0.268555,-1.888672,0.680176,-0.106052,-0.015721,-0.091663,chewing
5298475.0,-0.629883,1.85791,0.042969,0.211305,-0.43087,-0.246744,0.292969,-1.895996,0.691406,-0.057023,-0.016254,-0.066882,chewing
5298485.0,-0.638672,1.862793,0.031738,0.188123,-0.443127,-0.245412,0.303223,-1.912598,0.693359,-0.05649,0.001865,-0.05276,chewing
5298495.0,-0.662109,1.848633,0.04541,0.192386,-0.375179,-0.222496,0.304199,-1.924805,0.695312,-0.129767,0.001865,-0.082337,chewing
5298505.0,-0.665527,1.851563,0.039551,0.186257,-0.292842,-0.198515,0.262207,-1.908691,0.700684,-0.152683,0.038904,-0.144956,chewing
5298515.0,-0.669922,1.856445,0.049805,0.152417,-0.222496,-0.151084,0.270996,-1.909668,0.691895,-0.150018,0.060487,-0.16574,chewing
5298525.0,-0.682617,1.849121,0.047363,0.127103,-0.131632,-0.098058,0.29248,-1.908203,0.694824,-0.144423,0.053026,-0.129767,chewing
5298535.0,-0.681641,1.850098,0.039551,0.110582,-0.028245,-0.060221,0.285156,-1.904785,0.686523,-0.105786,0.020518,-0.116444,chewing
5298545.0,-0.661133,1.876953,0.030273,0.10019,-0.014922,-0.042101,0.297852,-1.914063,0.699219,-0.074343,0.033841,-0.088732,chewing
5298555.0,-0.637207,1.88623,0.032715,0.030643,-0.079672,0.017054,0.296387,-1.88916,0.694336,-0.04823,0.062086,-0.087933,chewing
5298565.0,-0.657715,1.866699,0.029785,0.001599,-0.071945,0.054092,0.3125,-1.89209,0.70459,-0.019718,0.079672,-0.092462,chewing
5298575.0,-0.665039,1.859375,0.02832,0.009859,-0.044766,0.111381,0.303223,-1.88916,0.69043,0.017054,0.104453,-0.115112,chewing
5298585.0,-0.67041,1.861816,0.052734,-0.015188,0.003997,0.176132,0.308105,-1.88916,0.690918,0.059421,0.094594,-0.173467,chewing
5298595.0,-0.644043,1.882324,0.045898,-0.070346,-0.0429,0.227026,0.318359,-1.907715,0.70166,0.062619,0.086334,-0.225694,chewing
5298605.0,-0.665039,1.890137,0.038086,-0.098858,-0.042634,0.233155,0.311523,-1.88916,0.695801,0.071678,0.062352,-0.237418,chewing
5298615.0,-0.65918,1.827148,0.05127,-0.036505,-0.116444,0.17773,0.297363,-1.884766,0.711914,0.109516,0.047963,-0.171335,chewing
5298625.0,-0.630859,1.858398,0.050781,-0.084202,-0.137228,0.176931,0.313965,-1.868164,0.698242,0.114312,0.020251,-0.076475,chewing
5298635.0,-0.625488,1.87207,0.054687,-0.049296,-0.184126,0.167605,0.336914,-1.876465,0.689453,0.115911,0.000533,-0.085002,chewing
5298645.0,-0.622559,1.879395,0.064941,-0.026646,-0.198781,0.117243,0.336426,-1.879883,0.703613,0.112181,0.004263,-0.12124,chewing
5298655.0,-0.625488,1.879395,0.061035,-0.036505,-0.20491,0.066616,0.344238,-1.873047,0.702148,0.09193,0.020518,-0.114312,chewing
5298665.0,-0.626953,1.865723,0.044434,-0.02558,-0.202245,0.001332,0.336914,-1.888184,0.700684,0.113779,0.037305,-0.116977,chewing
5298675.0,-0.623047,1.868164,0.063477,0.030643,-0.1311,-0.058622,0.329102,-1.882813,0.705566,0.122306,0.031709,-0.090597,chewing
5298685.0,-0.622559,1.873047,0.067383,-0.045565,-0.200646,0.029844,0.34375,-1.88623,0.706055,0.1311,0.046631,-0.06102,chewing
5298695.0,-0.641602,1.855469,0.058105,-0.052493,-0.183593,0.026113,0.34375,-1.886719,0.696777,0.140959,0.063418,-0.052493,chewing
5298705.0,-0.62793,1.875977,0.062012,-0.064217,-0.141225,0.032775,0.353027,-1.874023,0.706543,0.146821,0.103121,-0.067948,chewing
5298715.0,-0.611816,1.884766,0.055176,-0.02638,-0.070346,0.023982,0.335938,-1.869629,0.707031,0.164407,0.14762,-0.031176,chewing
5298725.0,-0.628418,1.876953,0.05957,-0.105519,-0.102855,0.085801,0.35498,-1.868652,0.70752,0.147887,0.157479,0.017054,chewing
5298735.0,-0.632324,1.862793,0.063477,-0.135096,-0.101256,0.152683,0.339355,-1.878418,0.718262,0.152949,0.155348,0.040236,chewing
5298745.0,-0.632324,1.866211,0.083008,-0.136962,-0.004263,0.202778,0.355469,-1.880371,0.70459,0.148686,0.146021,0.011724,chewing
5298755.0,-0.611816,1.87207,0.094238,-0.13483,0.080738,0.253672,0.368164,-1.870605,0.712402,0.185458,0.152683,0.042368,chewing
5298765.0,-0.604004,1.84668,0.080566,-0.134564,0.097525,0.271792,0.349121,-1.875977,0.719238,0.228358,0.153482,0.032242,chewing
5298775.0,-0.58252,1.872559,0.084473,-0.149485,0.085268,0.269394,0.338867,-1.873047,0.702637,0.241681,0.153482,0.031443,chewing
5298785.0,-0.617187,1.858887,0.080078,-0.171335,0.024515,0.23502,0.353027,-1.865723,0.722656,0.250208,0.149752,0.079139,chewing
5298795.0,-0.600098,1.859375,0.098633,-0.216101,-0.000266,0.144423,0.340332,-1.875488,0.708008,0.193985,0.158012,0.081804,chewing
5298805.0,-0.596191,1.882324,0.109863,-0.193185,-0.002931,0.103654,0.318359,-1.878418,0.699219,0.153216,0.189988,0.101522,chewing
5298815.0,-0.603027,1.889648,0.096191,-0.108184,0.041835,0.094594,0.318359,-1.877441,0.708984,0.102855,0.197715,0.105253,chewing
5298825.0,-0.622559,1.873535,0.100586,-0.037305,0.116977,0.073544,0.315918,-1.865723,0.712402,0.044499,0.233954,0.082603,chewing
