time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,true_label
1910531.0,-0.015137,-1.817871,0.974121,-0.093262,0.046631,-0.133231,chewing,1.000000,81.081,non_chewing
1910541.0,-0.010742,-1.846191,0.980957,-0.095926,0.039969,-0.155348,chewing,1.000000,81.081,non_chewing
1910551.0,-0.005371,-1.820313,0.981445,-0.073544,0.02638,-0.178263,chewing,1.000000,81.081,non_chewing
1910561.0,-0.001953,-1.847656,0.990234,-0.042634,0.041568,-0.168937,chewing,1.000000,81.081,non_chewing
1910571.0,-0.015625,-1.812988,0.980469,-0.046364,0.047963,-0.146821,chewing,1.000000,81.081,non_chewing
1910581.0,0.02832,-1.80957,0.961426,-0.051427,0.077274,-0.139893,chewing,1.000000,81.081,non_chewing
1910591.0,-0.008789,-1.814941,0.963867,-0.053026,0.031975,-0.185458,chewing,1.000000,81.081,non_chewing
1910601.0,-0.01123,-1.80127,0.953613,-0.074609,0.047963,-0.138827,chewing,1.000000,81.081,non_chewing
1910611.0,-0.000488,-1.813477,0.955566,-0.103121,0.069014,-0.175599,chewing,1.000000,81.081,non_chewing
1910621.0,-0.010742,-1.833008,0.96582,-0.107384,0.073544,-0.128968,chewing,1.000000,81.081,non_chewing
1910631.0,-0.003418,-1.810547,0.98291,-0.110848,0.087933,-0.124438,chewing,1.000000,81.081,non_chewing
1910641.0,-0.01123,-1.833984,0.978027,-0.113779,0.083936,-0.175332,chewing,1.000000,81.081,non_chewing
1910651.0,0.03418,-1.838379,0.969727,-0.127902,0.109783,-0.260067,chewing,1.000000,81.081,non_chewing
1910661.0,0.005371,-1.852539,0.97168,-0.120175,0.060221,-0.293642,chewing,1.000000,81.081,non_chewing
1910671.0,-0.020996,-1.803711,0.974121,-0.108717,0.054358,-0.283783,chewing,1.000000,81.081,non_chewing
1910681.0,0.028809,-1.794922,0.958984,-0.133764,0.123372,-0.175599,chewing,1.000000,81.081,non_chewing
1910691.0,0.005859,-1.839355,0.979492,-0.129767,0.113513,0.088199,chewing,1.000000,81.081,non_chewing
1910701.0,0.000488,-1.841797,0.959961,-0.12657,0.106585,-0.009859,chewing,1.000000,81.081,non_chewing
1910711.0,-0.004883,-1.810059,0.959961,-0.127369,0.104986,-0.073277,chewing,1.000000,81.081,non_chewing
1910721.0,0.003418,-1.826172,0.969727,-0.132698,0.120974,-0.036772,chewing,1.000000,81.081,non_chewing
1910731.0,0.009766,-1.806152,0.96582,-0.053292,0.137495,0.041568,chewing,1.000000,81.081,non_chewing
1910741.0,0.02832,-1.778809,0.962891,-0.090597,0.143623,-0.093262,chewing,1.000000,81.081,non_chewing
1910751.0,0.020996,-1.812988,0.974121,-0.021051,0.094328,0.04743,chewing,1.000000,81.081,non_chewing
1910761.0,-0.019043,-1.808594,0.995605,-0.012257,0.094861,0.089265,chewing,1.000000,81.081,non_chewing
1910771.0,0.01416,-1.865234,0.980957,-0.087133,0.097525,0.018386,chewing,1.000000,81.081,non_chewing
1910781.0,0.015625,-1.821777,0.977539,-0.021051,0.117776,0.085268,chewing,1.000000,81.081,non_chewing
1910791.0,-0.007324,-1.833984,0.975586,-0.051427,0.081538,0.009326,chewing,1.000000,81.081,non_chewing
1910801.0,0.027344,-1.867188,0.979004,-0.074876,0.075142,0.004796,chewing,1.000000,81.081,non_chewing
1910811.0,0.039551,-1.822754,0.979004,-0.051427,0.067149,-0.049828,chewing,1.000000,81.081,non_chewing
1910821.0,0.026855,-1.787598,0.98584,-0.039969,0.079406,-0.058622,chewing,1.000000,81.081,non_chewing
1910831.0,0.00293,-1.815918,0.991699,-0.029044,0.079406,0.105519,chewing,1.000000,81.081,non_chewing
1910841.0,0.016113,-1.808594,0.970703,-0.026646,0.066083,0.121773,chewing,1.000000,81.081,non_chewing
1910851.0,0.05957,-1.812988,0.967285,-0.029844,0.082337,0.094061,chewing,1.000000,81.081,non_chewing
1910861.0,-0.003906,-1.820313,0.983398,-0.017587,0.058622,0.047164,chewing,1.000000,81.081,non_chewing
1910871.0,-0.008301,-1.813965,0.975586,-0.015455,0.037305,0.1303,chewing,1.000000,81.081,non_chewing
1910881.0,0.017578,-1.802246,0.978516,-0.01359,0.008793,0.143623,chewing,1.000000,81.081,non_chewing
1910891.0,0.018555,-1.818848,0.953125,0.005596,-0.017054,0.158812,chewing,1.000000,81.081,non_chewing
1910901.0,-0.003906,-1.822266,0.961426,-0.010392,-0.03011,0.194251,chewing,1.000000,81.081,non_chewing
1910911.0,-0.010742,-1.835449,0.969238,0.014123,-0.020518,0.16947,chewing,1.000000,81.081,non_chewing
1910921.0,-0.003906,-1.859375,0.974609,0.029044,-0.011991,0.198515,chewing,1.000000,81.081,non_chewing
1910931.0,-0.013184,-1.828125,0.974609,0.033308,-0.015455,0.105786,chewing,1.000000,81.081,non_chewing
1910941.0,-0.006836,-1.841309,0.985352,0.019985,0.002398,-0.003464,chewing,1.000000,81.081,non_chewing
1910951.0,0.02832,-1.817871,0.977539,0.18226,-0.003198,-0.096193,chewing,1.000000,61.856,non_chewing
