time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,true_label
1869180.0,0.162598,-1.772949,1.091797,-0.452986,-0.018652,0.156946,warming_up,0.000000,0.000,chewing
1869190.0,0.153809,-1.761719,1.073242,-0.400227,0.001066,0.214236,warming_up,0.000000,0.000,chewing
1869200.0,0.143066,-1.759277,1.087402,-0.377577,-0.007194,0.207574,warming_up,0.000000,0.000,chewing
1869210.0,0.155273,-1.760742,1.074219,-0.358658,-0.016254,0.223562,warming_up,0.000000,0.000,chewing
1869220.0,0.163574,-1.762207,1.06543,-0.315492,-0.012524,0.286447,warming_up,0.000000,0.000,chewing
1869230.0,0.147461,-1.750488,1.066406,-0.278187,-0.02185,0.276588,warming_up,0.000000,0.000,chewing
1869240.0,0.129883,-1.735352,1.071777,-0.211305,0.002665,0.308297,warming_up,0.000000,0.000,chewing
1869250.0,0.125488,-1.743164,1.066895,-0.19958,0.011458,0.320821,warming_up,0.000000,0.000,chewing
1869260.0,0.118164,-1.754395,1.056152,-0.199314,0.034374,0.27419,warming_up,0.000000,0.000,chewing
1869270.0,0.144531,-1.767578,1.05957,-0.179862,0.033841,0.281651,warming_up,0.000000,0.000,chewing
1869280.0,0.14209,-1.76123,1.068848,-0.162809,0.051694,0.17027,warming_up,0.000000,0.000,chewing
1869290.0,0.161621,-1.76709,1.045898,-0.101789,0.066349,0.103387,warming_up,0.000000,0.000,chewing
1869300.0,0.147461,-1.77002,1.060059,-0.006129,0.063418,0.035972,warming_up,0.000000,0.000,chewing
1869310.0,0.128418,-1.750977,1.06543,0.11751,0.046364,-0.011724,warming_up,0.000000,0.000,chewing
1869320.0,0.126465,-1.751465,1.07666,0.354662,0.023182,-0.108983,warming_up,0.000000,0.000,chewing
1869330.0,0.131836,-1.74707,1.114746,0.676282,-0.006129,-0.300037,warming_up,0.000000,0.000,chewing
1869340.0,0.15332,-1.697266,1.108398,1.036539,0.028511,-0.444726,warming_up,0.000000,0.000,chewing
1869350.0,0.154785,-1.699707,1.082031,1.218,0.172401,-0.50015,warming_up,0.000000,0.000,chewing
1869360.0,0.140137,-1.709473,1.089355,1.353363,0.29151,-0.559838,warming_up,0.000000,0.000,chewing
1869370.0,0.160156,-1.72998,1.07959,1.386404,0.3043,-0.472172,warming_up,0.000000,0.000,chewing
1869380.0,0.166016,-1.737793,1.06543,1.084236,0.437531,-0.270459,warming_up,0.000000,0.000,chewing
1869390.0,0.134766,-1.787109,1.07373,0.663225,0.217966,0.018919,warming_up,0.000000,0.000,chewing
1869400.0,-0.246582,-1.799316,1.184082,0.571029,0.088998,0.247011,warming_up,0.000000,0.000,chewing
1869410.0,0.130371,-1.769043,1.134277,0.292309,0.066349,0.16494,warming_up,0.000000,0.000,chewing
1869420.0,0.11084,-1.74707,1.141602,0.264064,0.112447,0.127103,warming_up,0.000000,0.000,chewing
1869430.0,0.133789,-1.693848,1.175293,0.104453,0.098858,0.140959,warming_up,0.000000,0.000,chewing
1869440.0,0.160645,-1.696777,1.158691,0.044499,0.129501,0.123372,warming_up,0.000000,0.000,chewing
1869450.0,0.157227,-1.679199,1.161133,0.036505,0.201446,0.019185,warming_up,0.000000,0.000,chewing
1869460.0,0.145508,-1.692871,1.155762,0.062885,0.247011,-0.064484,warming_up,0.000000,0.000,chewing
1869470.0,0.137207,-1.736328,1.155762,0.081005,0.30883,0.004263,warming_up,0.000000,0.000,chewing
1869480.0,0.118652,-1.730957,1.15332,0.080738,0.294175,0.000266,warming_up,0.000000,0.000,chewing
1869490.0,0.144531,-1.717773,1.15332,0.073544,0.266995,0.015188,warming_up,0.000000,0.000,chewing
1869500.0,0.151855,-1.716797,1.174805,0.058355,0.256337,0.015455,warming_up,0.000000,0.000,chewing
1869510.0,0.155762,-1.689453,1.155762,0.114579,0.304567,-0.027712,warming_up,0.000000,0.000,chewing
