time_ms,ax,ay,az,gx,gy,gz,state,chewing_prob,cpm,true_label
1970902.0,-0.265625,-1.918457,0.661621,-0.016787,0.037305,-0.019718,non_chewing,0.450000,0.000,non_chewing
1970912.0,-0.271973,-1.899902,0.656738,-0.021583,0.051694,-0.01732,non_chewing,0.450000,0.000,non_chewing
1970922.0,-0.230469,-1.922852,0.660156,-0.094861,0.030377,-0.038904,non_chewing,0.450000,0.000,non_chewing
1970932.0,-0.253906,-1.86084,0.67041,-0.098858,0.058622,-0.03011,non_chewing,0.450000,0.000,non_chewing
1970942.0,-0.276367,-1.91748,0.655762,-0.002398,0.009593,0.032242,non_chewing,0.450000,0.000,non_chewing
1970952.0,-0.22998,-1.915527,0.664062,-0.05196,0.039436,-0.010392,non_chewing,0.450000,0.000,non_chewing
1970962.0,-0.246094,-1.895508,0.686035,-0.029844,0.051427,-0.049296,non_chewing,0.450000,0.000,non_chewing
1970972.0,-0.240723,-1.946777,0.669922,-0.060753,0.026913,0.001332,non_chewing,0.450000,0.000,non_chewing
1970982.0,-0.249512,-1.896973,0.675293,0.010126,0.01279,-0.027979,non_chewing,0.450000,0.000,non_chewing
1970992.0,-0.20752,-1.938477,0.664062,0.03091,0.011724,0.032508,non_chewing,0.450000,0.000,non_chewing
1971002.0,-0.270508,-1.890137,0.671387,0.070346,0.011991,-0.015988,non_chewing,0.450000,0.000,non_chewing
1971012.0,-0.249512,-1.898438,0.676758,0.038904,0.010126,-0.036239,non_chewing,0.450000,0.000,non_chewing
1971022.0,-0.250488,-1.887207,0.678223,0.027446,0.022649,-0.031709,non_chewing,0.450000,0.000,non_chewing
1971032.0,-0.266113,-1.900391,0.678711,0.016254,0.008527,0.008793,non_chewing,0.450000,0.000,non_chewing
1971042.0,-0.258789,-1.899902,0.683105,-0.018119,0.009593,0.03011,non_chewing,0.450000,0.000,non_chewing
1971052.0,-0.263672,-1.90332,0.680664,0.001332,0.037038,0.047963,non_chewing,0.450000,0.000,non_chewing
1971062.0,-0.257324,-1.921875,0.678223,-0.02638,0.020518,0.024781,non_chewing,0.450000,0.000,non_chewing
