time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,state,chewing_side,cpm,channel,activity_label
1592287.0,-0.699219,1.837891,0.650391,0.084202,0.029044,0.058355,-0.140137,-1.983887,0.190918,-0.190254,0.134031,-0.031443,chewing,left_chewing,107.143,l_gx,left_chewing
1592297.0,-0.69873,1.842773,0.658691,0.115645,0.041302,0.050628,-0.156738,-1.983398,0.207031,-0.19132,0.158812,-0.026913,chewing,left_chewing,107.143,l_gx,left_chewing
1592307.0,-0.70166,1.847168,0.650879,0.177198,0.046897,0.016787,-0.127441,-1.984375,0.202148,-0.152683,0.191054,-0.036772,chewing,left_chewing,107.143,l_gx,left_chewing
1592317.0,-0.696289,1.862793,0.640137,0.217433,0.022649,-0.007461,-0.140137,-1.98291,0.190918,-0.139893,0.209173,-0.071412,chewing,left_chewing,107.143,l_gx,left_chewing
1592327.0,-0.699707,1.858398,0.630371,0.185991,0.022116,0.007994,-0.138184,-1.991699,0.165527,-0.146821,0.184658,-0.08207,chewing,left_chewing,107.143,l_gx,left_chewing
1592337.0,-0.708984,1.842285,0.62207,0.139626,-0.006928,-0.002931,-0.134766,-1.995605,0.159668,-0.143623,0.144689,-0.037838,chewing,left_chewing,107.143,l_gx,left_chewing
1592347.0,-0.704102,1.84082,0.632324,0.120708,-0.009859,-0.00453,-0.121094,-2.009277,0.153809,-0.135629,0.110315,-0.000799,chewing,left_chewing,107.143,l_gx,left_chewing
1592357.0,-0.718262,1.847168,0.646973,0.11298,-0.019452,0.022916,-0.130371,-1.996582,0.154785,-0.115645,0.105519,0.016521,chewing,left_chewing,107.143,l_gx,left_chewing
1592367.0,-0.720215,1.82666,0.641113,0.121507,-0.004796,0.023982,-0.129395,-2.006836,0.159668,-0.099124,0.088998,0.018652,chewing,left_chewing,107.143,l_gx,left_chewing
1592377.0,-0.702637,1.848145,0.620117,0.131899,0.007994,0.020784,-0.114258,-2.0,0.160645,-0.072478,0.104187,0.003997,chewing,left_chewing,107.143,l_gx,left_chewing
1592387.0,-0.712891,1.845703,0.633301,0.144423,-0.024515,0.024515,-0.13916,-2.006348,0.158691,-0.049828,0.085002,-0.005063,chewing,left_chewing,107.143,l_gx,left_chewing
