time_ms,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,label,elapsed_s,session_id
31767.0,0.9375,1.728516,0.624512,0.294441,-1.231323,-1.88389,-0.134766,-1.700195,1.14502,-0.740233,-0.873997,0.662692,still,0.580000,session_20260606_121208
31777.0,1.07373,1.537598,0.626953,0.775939,-0.853479,-2.106652,-0.089844,-1.702148,1.16748,-0.51294,-0.679479,0.547314,still,0.590000,session_20260606_121208
31787.0,0.790527,1.630371,0.633301,1.365087,-0.142824,-1.98781,-0.072266,-1.655273,1.191406,-0.081538,-0.494554,0.130567,still,0.600000,session_20260606_121208
31797.0,0.335938,1.817383,0.567871,1.909737,-0.212904,-1.678447,-0.111816,-1.66748,1.111816,0.00906,-0.16121,-0.196916,still,0.610000,session_20260606_121208
31807.0,0.120117,2.089844,0.470703,1.796224,-0.489758,-1.584919,-0.183594,-1.731934,1.039063,0.001332,-0.305366,-0.343737,still,0.620000,session_20260606_121208
31817.0,0.320313,2.063477,0.492676,1.312594,-0.684809,-2.159145,-0.181641,-1.74707,1.02832,0.250741,-0.419678,-0.418879,still,0.630000,session_20260606_121208
31827.0,0.491699,2.087402,0.51123,0.887054,-1.22706,-3.172502,-0.098145,-1.719238,1.075195,0.626187,-0.468175,-0.684542,still,0.640000,session_20260606_121208
31837.0,0.590332,1.857422,0.560547,0.756221,-1.373081,-3.013957,0.020508,-1.745605,1.129395,0.97392,-0.379443,-1.195351,still,0.650000,session_20260606_121208
31847.0,0.431152,1.821777,0.584473,1.04853,-0.798055,-2.54072,0.006348,-1.745117,1.112793,1.16524,-0.036772,-1.515106,still,0.660000,session_20260606_121208
31857.0,0.291504,1.908691,0.53418,1.426374,-0.320554,-2.043234,-0.033203,-1.76123,1.056152,0.942744,0.323752,-1.691237,still,0.670000,session_20260606_121208
31867.0,0.102539,1.99707,0.520996,1.448224,-0.272058,-1.986744,-0.089844,-1.820801,1.047852,0.554508,0.413816,-1.376012,still,0.680000,session_20260606_121208
31877.0,0.129883,2.155762,0.489746,1.212937,-0.443926,-1.884956,-0.167969,-1.74707,0.986816,0.236885,0.211305,-0.911035,still,0.690000,session_20260606_121208
31887.0,0.327637,2.137207,0.408691,0.72691,-0.766346,-1.807415,-2.441406,-1.550781,1.950195,2.236686,-2.053093,4.443795,still,0.700000,session_20260606_121208
31897.0,0.408203,2.060059,0.45459,0.502548,-1.102355,-2.053893,0.075684,-1.67627,1.293457,1.061853,-0.405556,0.76155,still,0.710000,session_20260606_121208
31907.0,0.306152,2.051758,0.506348,0.80445,-0.91743,-1.802352,0.046875,-1.704102,1.182617,0.795124,-0.138294,0.573161,still,0.720000,session_20260606_121208
31917.0,0.297852,1.949707,0.430176,0.870266,-0.706925,-1.789562,0.222168,-1.82959,1.16748,0.358126,0.043966,0.176665,still,0.730000,session_20260606_121208
31927.0,0.21875,1.846191,0.46875,1.049329,-0.446058,-1.67072,-0.106934,-1.693848,1.162598,0.069014,0.0874,0.631516,still,0.740000,session_20260606_121208
31937.0,0.170898,1.788086,0.424316,1.249176,-0.259268,-1.721348,-0.14502,-1.856934,0.828125,-0.329614,0.074077,-0.059421,still,0.750000,session_20260606_121208
31947.0,0.121582,1.876465,0.432617,0.93475,-0.247011,-1.650469,-0.051758,-1.768555,1.123047,-0.205443,-0.080738,-0.147354,still,0.760000,session_20260606_121208
31957.0,0.117676,1.935547,0.393555,0.797789,-0.143623,-1.503115,-0.04248,-1.662598,1.15625,-0.096193,0.036772,-0.243014,still,0.770000,session_20260606_121208
31967.0,0.046387,1.988281,0.385254,0.636312,-0.121507,-1.191354,0.044922,-1.716797,1.179688,-0.086067,0.102588,-0.313626,still,0.780000,session_20260606_121208
31977.0,0.129395,1.865234,0.397949,0.799654,-0.03011,-0.820438,-0.025391,-1.738281,1.168457,0.057556,0.155881,-0.364254,still,0.790000,session_20260606_121208
